Time-(UTC),Latitude-(degN),Longitude-(degE),Secchi-depth-(m),FU-(disk-1/2-Secchi-depth)
2023-09-26 11:56:16.237,27.072573851436978,-82.45250926021332,1.5,7
2023-09-29 17:02:06.052,34.14012582009055,-77.86244522538186,0.8,16
2023-09-29 17:29:19.770,34.14007257147351,-77.86224568939596,0.8,16
2023-09-29 17:32:58.479,34.14007257147351,-77.86224568939596,0.82,15
2023-09-29 18:16:07.120,34.07972669798813,-77.88571103461487,1.39,19
2023-09-29 19:19:57.440,34.14010639187607,-77.86237708908051,0.45,18
2023-09-29 19:41:02.097,34.141412708008794,-77.86789756275515,0.48,18
2023-10-01 18:00:25.994,28.94654617442895,-80.83828166037789,0.6,14
2023-10-05 14:30:34.222,34.139960836650936,-77.8625152912716,1.88,17
2023-10-05 14:33:16.404,34.140006098204196,-77.86250637529147,0.9,17
2023-10-05 14:34:51.363,34.139952243448576,-77.86249487867104,0.98,17
2023-10-05 14:36:11.830,34.13998505776359,-77.86250621808445,0.97,17
2023-10-05 14:38:03.596,34.139979429333174,-77.8625089031426,0.97,17
2023-10-05 14:42:14.471,34.14023079315781,-77.8622929079053,0.98,18
2023-10-05 14:43:39.994,34.14023147481255,-77.86228916028284,0.79,18
2023-10-05 14:45:18.942,34.140247168939595,-77.86228096742921,0.92,17
2023-10-13 19:46:24.933,29.03168920872117,-80.914752081369,0.8,13
2023-10-14 17:57:23.807,43.04475318805873,-70.73216110290743,0.3,17
2023-10-19 13:54:38.264,30.02362231261099,-81.3278192841274,0.3,18
2023-10-19 19:36:11.518,28.946548511885783,-80.83824021464082,0.8,11
2023-10-20 18:51:19.281,29.027162153690345,-80.9201022282235,0.8,16
2023-10-21 12:08:04.726,27.072615931979957,-82.45252373835922,1.47,13
2023-10-21 20:16:36.078,27.889311527859316,-82.47898299254707,1.65,13
2023-10-26 18:28:27.627,29.03032627472489,-80.91737689925327,0.8,16
2023-10-27 12:19:30.187,27.072527553277098,-82.45260881563524,2.3,8
2023-10-27 14:05:21.629,34.1399098,-77.8624579,0.12,8
2023-11-01 15:09:51.578,34.0890501,-77.88151,0.1,12
2023-11-03 11:50:35.045,27.072592396524012,-82.45256497768608,1.62,8
2023-11-03 17:50:28.755,34.07806713007088,-77.88092836687734,1.35,13
2023-11-03 18:42:14.534,34.0464197,-77.9438398,0.96,20
2023-11-03 19:00:32.531,34.08684848439646,-77.93235470469656,1.08,20
2023-11-04 19:42:54.206,29.030269679865818,-80.91729377204621,0.7,13
2023-11-04 21:13:59.788,28.946535471983466,-80.83836473477014,0.7,14
2023-11-05 12:52:31.917,27.073219715308234,-82.45060271809093,1.67,7
2023-11-06 19:31:09.251,34.0570719,-77.8914722,1.1,10
2023-11-06 19:46:56.466,34.0891228,-77.8814146,1.02,9
2023-11-09 19:06:41.786,34.22778461187032,-77.95049103776195,0.76,19
2023-11-12 20:08:00.469,29.028407093136998,-80.91946562208823,1.0,14
2023-11-12 22:26:44.445,28.94655036494758,-80.83826651227626,0.7,15
2023-11-17 15:12:58.033,34.0890316,-77.8814671,0.13,7
2023-11-18 12:11:02.761,27.073208445153924,-82.45061304428184,1.8,6
2023-11-18 13:53:10.329,34.1562348,-77.8565953,0.43,10
2023-11-18 14:20:50.062,34.0570664,-77.8914198,0.57,9
2023-11-18 15:07:24.669,34.0890215,-77.8816411,0.56,9
2023-11-18 18:23:27.125,29.02755091434336,-80.92049473151766,0.9,15
2023-11-19 15:27:32.084,34.0891036,-77.8815878,0.97,13
2023-11-19 17:38:15.155,34.0570563,-77.8913832,1.01,12
2023-11-20 17:23:39.487,34.1562163,-77.8565906,1.76,8
2023-11-20 20:21:19.463,27.889329758498715,-82.47874687433473,2.0,13
2023-11-20 20:31:01.922,27.88937300911908,-82.47909480713538,1.45,16
2023-11-21 12:33:07.030,27.072653278616418,-82.45238152101523,1.82,12
2023-11-30 18:30:38.942,28.9465609170128,-80.83831542372796,1.5,15
2023-12-01 14:38:31.041,34.0891034,-77.8815131,1.68,7
2023-12-01 17:16:25.986,29.03076474533623,-80.9189961142364,1.1,15
2023-12-04 17:31:06.441,34.2075347,-77.7963766,1.58,8
2023-12-09 18:09:23.389,29.027198370492826,-80.91954205569793,0.8,15
2023-12-21 12:21:10.973,27.072578092253647,-82.45254778832384,0.95,6
2023-12-21 18:42:31.175,28.946526671516914,-80.83833555782509,0.9,13
2024-01-01 20:19:22.914,28.934365265048104,-80.82955735321404,1.0,13
2024-01-05 12:49:48.519,27.072703339074526,-82.45213512194069,1.51,8
2024-01-08 20:59:17.740,34.0864499,-77.8838137,0.69,18
2024-01-08 21:01:42.717,34.0889887,-77.8815404,0.69,15
2024-01-09 10:55:29.321,27.059027792741478,-82.38932288559779,0.33,7
2024-01-12 12:41:48.085,27.072787280059995,-82.4519489205582,0.63,9
2024-01-12 13:36:36.089,34.0864233,-77.8838409,0.5,16
2024-01-15 16:40:15.772,34.270729255757296,-77.77254107635713,0.9,14
2024-01-16 18:27:34.229,29.02734264917289,-80.9195214892583,1.0,15
2024-01-18 19:07:47.005,34.1561347,-77.8565892,0.5,17
2024-01-18 19:11:58.087,34.1561483,-77.8565857,1.43,18
2024-01-19 12:53:05.488,27.07288024197201,-82.4507927681463,1.07,6
2024-01-23 13:09:22.441,27.07269270365661,-82.45218620640368,1.02,13
2024-01-24 20:38:34.125,29.027388077267656,-80.91982831466281,0.7,11
2024-01-24 22:15:50.806,28.94653193170501,-80.83831629630878,0.8,9
2024-01-26 13:38:48.631,34.27071626301321,-77.77250890627296,1.45,14
2024-01-26 17:47:59.435,34.22777327365207,-77.95050629283752,0.24,20
2024-01-27 14:22:08.396,34.27073298491004,-77.77252022184224,1.03,16
2024-02-09 20:29:49.669,29.027190484160933,-80.91933378924683,0.5,13
2024-02-10 16:51:04.130,28.946540456139246,-80.83824821138234,0.7,13
2024-02-11 12:47:51.250,27.072635353305696,-82.45258615757331,0.67,13
2024-02-15 12:42:01.549,27.072606817631,-82.45269895805848,0.47,13
2024-02-15 18:27:06.216,34.44949229042229,-77.51384630483936,1.58,18
2024-02-22 22:06:14.293,28.946540745501302,-80.83834425237062,0.87,11
2024-02-27 12:58:15.124,27.07261205777729,-82.45259730219081,1.3,13
2024-03-03 12:39:35.792,27.072634520496166,-82.45245469465885,2.13,8
2024-03-07 12:21:17.148,27.07259918543951,-82.45255282084875,1.27,14
2024-03-07 19:28:59.823,34.22777705793109,-77.95049365396295,0.35,20
2024-03-07 20:56:25.854,28.94654116541745,-80.83840902600892,0.9,15
2024-03-11 14:13:54.029,34.1560131,-77.8574281,1.23,13
2024-03-14 15:35:49.153,34.44953249524434,-77.51373542453864,1.32,13
2024-03-17 18:16:55.413,34.270727327125485,-77.77251888073774,1.56,14
2024-03-20 17:07:02.951,34.449558619837354,-77.51378933338137,1.47,15
2024-03-25 12:45:47.165,34.1561332,-77.8565719,1.17,14
2024-03-29 19:52:26.136,34.449470828586456,-77.51395789369576,1.8,19
2024-04-02 11:51:49.418,27.072630007504866,-82.45245690410725,1.88,9
2024-04-07 11:43:09.877,27.073292887759024,-82.4506337576033,1.51,8
2024-04-13 18:27:46.574,29.03030614405288,-80.91928348606791,0.9,13
2024-04-13 21:44:15.598,39.1507236,-76.5057373,0.82,14
2024-04-15 18:14:36.985,34.27073512715681,-77.77250115001914,0.79,8
2024-04-16 15:17:09.480,34.34711056779913,-77.6594830474896,1.13,11
2024-04-17 12:43:04.916,32.79335293921902,-79.87793762244273,0.6,13
2024-04-17 13:04:11.770,32.790390104085944,-79.88472956240166,0.69,17
2024-04-17 13:19:31.255,32.768389787555456,-79.86336585141706,1.36,13
2024-04-17 13:33:59.432,32.76290370620113,-79.85598323874162,0.46,17
2024-04-23 14:00:47.812,34.44944248175239,-77.5139758851581,1.47,15
2024-04-24 12:38:10.078,32.79291400757651,-79.87693440176677,0.64,18
2024-04-24 12:57:30.926,32.89154839581398,-79.97105356621607,0.7,19
2024-04-24 13:07:24.984,32.786781527132526,-79.91017249420277,1.23,16
2024-04-24 13:16:55.369,32.82852156726187,-79.9900261496393,0.37,20
2024-04-24 13:29:28.029,32.82437121202066,-79.88945781070562,1.41,13
